13:17:09.191,RSD, 0.000,3.153, 30.959, -29.935, 0.165,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.000,0.013,1.000,1.098,0.012, 0.08, 31.132
13:17:09.191,NSD, 0.000,1.12, 30.959, -29.935, 0.165, 0.000,1.000,5.000,0.3
13:17:09.201,RSD, 1.000,3.205, 30.651, -29.861, 0.038,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.100,0.117,0.995,1.093,0.013, 0.71, 31.273
13:17:09.211,RSD, 2.000,3.353, 30.251, -29.527, 0.384,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.199,0.233,0.980,0.992,0.012, 0.92, 31.055
13:17:09.221,RSD, 3.000,3.470, 30.259, -29.598, 0.483,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.296,0.336,0.955,0.976,0.013, 0.28, 31.117
13:17:09.231,RSD, 4.000,3.487, 30.558, -29.198, 1.079,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.389,0.427,0.921,0.952,0.012, 0.17, 31.040
13:17:09.241,RSD, 5.000,3.283, 30.286, -29.118, 1.035,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.479,0.562,0.878,0.952,0.013, 0.72, 30.381
13:17:09.251,RSD, 6.000,3.182, 30.930, -29.384, 0.976,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.565,0.569,0.825,0.846,0.012, 0.29, 31.756
13:17:09.261,RSD, 7.000,3.463, 30.936, -29.750, 1.012,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.644,0.661,0.765,0.853,0.012, 0.85, 31.090
13:17:09.271,RSD, 8.000,3.493, 30.590, -29.121, 0.249,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.717,0.807,0.697,0.714,0.013, 0.63, 31.223
13:17:09.281,RSD, 9.000,3.553, 30.795, -29.566, 0.754,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.783,0.879,0.622,0.690,0.012, 0.53, 31.150
13:17:09.291,RSD, 10.000,3.146, 30.866, -29.482, 0.620,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.841,0.924,0.540,0.548,0.013, 0.66, 31.097
13:17:09.301,RSD, 11.000,3.139, 30.537, -29.881, 1.022,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.891,0.977,0.454,0.552,0.013, 0.63, 30.668
13:17:09.311,RSD, 12.000,3.129, 30.137, -29.961, 0.462,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.932,0.963,0.362,0.403,0.013, 0.25, 30.633
13:17:09.321,RSD, 13.000,3.235, 30.109, -29.018, 0.610,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.964,1.046,0.267,0.331,0.013, 0.88, 31.089
13:17:09.331,RSD, 14.000,3.381, 30.226, -29.232, 0.863,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.985,1.054,0.170,0.193,0.014, 0.41, 30.318
13:17:09.341,RSD, 15.000,3.308, 30.924, -29.067, 0.506,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.997,1.005,0.071,0.103,0.013, 0.89, 31.319
13:17:09.351,RSD, 16.000,3.189, 30.803, -29.441, 0.139,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,1.000,1.002,-0.029,0.028,0.013, 0.09, 31.356
13:17:09.361,RSD, 17.000,3.149, 30.660, -29.288, 0.509,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.992,1.039,-0.129,-0.031,0.014, 0.95, 31.065
13:17:09.371,RSD, 18.000,3.217, 30.416, -29.548, 0.846,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.974,1.023,-0.227,-0.137,0.012, 0.06, 30.746
13:17:09.381,RSD, 19.000,3.338, 30.938, -29.967, 0.715,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.946,0.949,-0.323,-0.230,0.012, 0.21, 31.017
13:17:09.391,RSD, 20.000,3.253, 30.528, -29.796, 0.242,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.909,0.931,-0.416,-0.357,0.013, 0.70, 31.274
13:17:09.401,RSD, 21.000,3.228, 30.030, -29.546, 0.991,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.863,0.909,-0.505,-0.492,0.014, 0.19, 30.508
13:17:09.411,RSD, 22.000,3.566, 30.506, -29.693, 0.753,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.808,0.887,-0.589,-0.492,0.012, 0.02, 30.658
13:17:09.421,RSD, 23.000,3.313, 30.590, -29.362, 0.833,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.746,0.770,-0.666,-0.641,0.014, 0.58, 31.012
13:17:09.431,RSD, 24.000,3.120, 30.162, -29.799, 0.877,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.675,0.689,-0.737,-0.657,0.012, 0.94, 30.193
13:17:09.441,RSD, 25.000,3.525, 30.610, -29.518, 0.993,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.598,0.672,-0.801,-0.718,0.013, 0.30, 31.319
13:17:09.451,RSD, 26.000,3.464, 30.763, -29.261, 0.320,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.516,0.612,-0.857,-0.837,0.012, 0.15, 30.868
13:17:09.461,RSD, 27.000,3.065, 30.599, -29.213, 0.210,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.427,0.433,-0.904,-0.816,0.013, 0.72, 30.623
13:17:09.471,RSD, 28.000,3.166, 30.086, -29.629, 0.534,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.335,0.385,-0.942,-0.857,0.014, 0.36, 30.497
13:17:09.481,RSD, 29.000,3.402, 30.615, -29.150, 0.869,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.239,0.272,-0.971,-0.876,0.013, 0.13, 31.430
13:17:09.491,RSD, 30.000,3.409, 30.958, -29.800, 0.075,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.141,0.182,-0.990,-0.892,0.013, 0.05, 31.298
13:17:09.501,RSD, 31.000,3.146, 30.676, -29.442, 0.629,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,0.042,0.062,-0.999,-0.997,0.013, 0.18, 30.888
13:17:09.511,RSD, 32.000,3.202, 30.267, -29.742, 0.923,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.058,-0.027,-0.998,-0.938,0.013, 0.77, 30.806
13:17:09.521,RSD, 33.000,3.153, 30.307, -29.730, 0.866,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.158,-0.093,-0.987,-0.895,0.012, 0.02, 31.067
13:17:09.531,RSD, 34.000,3.494, 30.270, -29.327, 0.473,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.256,-0.174,-0.967,-0.921,0.013, 0.69, 30.956
13:17:09.541,RSD, 35.000,3.511, 30.066, -29.585, 0.914,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.351,-0.252,-0.936,-0.921,0.013, 0.21, 30.927
13:17:09.551,RSD, 36.000,3.334, 30.793, -29.354, 0.657,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.443,-0.420,-0.897,-0.833,0.012, 0.44, 31.532
13:17:09.561,RSD, 37.000,3.042, 30.403, -29.976, 0.641,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.530,-0.476,-0.848,-0.830,0.012, 0.99, 31.310
13:17:09.571,RSD, 38.000,3.323, 30.947, -29.544, 0.853,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.612,-0.574,-0.791,-0.728,0.014, 0.93, 31.654
13:17:09.581,RSD, 39.000,3.074, 30.427, -29.683, 0.130,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.688,-0.677,-0.726,-0.682,0.012, 0.51, 30.657
13:17:09.591,RSD, 40.000,3.069, 30.222, -29.954, 0.045,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.757,-0.662,-0.654,-0.617,0.013, 0.44, 30.506
13:17:09.601,RSD, 41.000,3.397, 30.218, -29.475, 0.304,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.818,-0.762,-0.575,-0.575,0.012, 0.20, 30.481
13:17:09.611,RSD, 42.000,3.243, 30.756, -29.585, 0.061,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.872,-0.803,-0.490,-0.461,0.014, 0.32, 30.769
13:17:09.621,RSD, 43.000,3.253, 30.951, -29.702, 0.625,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.916,-0.859,-0.401,-0.397,0.014, 0.15, 31.717
13:17:09.631,RSD, 44.000,3.516, 30.505, -29.002, 0.171,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.952,-0.944,-0.307,-0.214,0.012, 0.25, 31.217
13:17:09.641,RSD, 45.000,3.110, 30.885, -29.140, 0.333,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.978,-0.890,-0.211,-0.120,0.012, 0.66, 31.637
13:17:09.651,RSD, 46.000,3.489, 30.095, -29.467, 0.835,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.994,-0.984,-0.112,-0.049,0.012, 0.30, 30.585
13:17:09.661,RSD, 47.000,3.591, 30.080, -29.353, 0.590,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-1.000,-0.971,-0.012,0.030,0.012, 0.39, 30.772
13:17:09.671,RSD, 48.000,3.159, 30.319, -29.324, 0.504,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.996,-0.928,0.087,0.131,0.013, 0.75, 30.752
13:17:09.681,RSD, 49.000,3.092, 30.107, -29.921, 0.404,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.982,-0.942,0.187,0.278,0.012, 0.13, 30.159
13:17:09.691,RSD, 50.000,3.140, 30.107, -29.597, 0.390,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.959,-0.886,0.284,0.362,0.013, 0.36, 30.277
13:17:09.691,NSD, 50.000,1.12, 30.107, -29.597, 0.390, -0.959,0.284,5.299,0.3
13:17:09.701,RSD, 51.000,3.039, 30.691, -29.405, 0.445,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.926,-0.918,0.378,0.427,0.012, 0.91, 31.030
13:17:09.711,RSD, 52.000,3.045, 30.337, -29.584, 0.101,0.0/0.0,0.0/0.0,0.0/0.0,0.0/0.0,-0.883,-0.866,0.469,0.504,0.012, 0.20, 30.527
